"CA8363 - WATERFORD S+G         LBR-3         LIE L586 XPOWER         In Service         7 Nov, 2019                 Last Meter Hours:  15,246        ",,,,,,,,,,,,,,,
P03-ADT-19-3,7512222201J,WSG-823,26.5R25 MAX MS301 K E3/L3 **,N,,,No Pressure,10,10,"1,872",0,No Inspection Data,,,0
P04-ADT-19-4,14091422401,WSG-790,26.5R25 TRI TB516 Std L3 **,Y,,,No Pressure,22,22,"3,993",0,No Inspection Data,,,0
P05-ADT-19-5,7531232301J,WSG-824,26.5R25 MAX MS301 K E3/L3 **,N,,,No Pressure,9,9,"1,872",0,No Inspection Data,,,0
P06-ADT-19-6,760522302J,WSG-825,26.5R25 MAX MS301 K E3/L3 **,N,,,No Pressure,11,11,"1,945",0,No Inspection Data,,,0
"CA8363 - WATERFORD S+G         ADT-20         VOL A40F         In Service                         Last Meter Hours:  5,964        ",,,,,,,,,,,,,,,
P01-ADT-20-1,AX3WD8087,WSG-874,29.5R25 YOK RT41 CP E4 **,N,,,No Pressure,44,44,"5,964",0,No Inspection Data,,,0
P02-ADT-20-2,AX4WD8031,WSG-879,29.5R25 YOK RT41 CP E4 **,N,,,No Pressure,44,44,"5,964",0,No Inspection Data,,,0
P03-ADT-20-3,AX3WD8083,WSG-875,29.5R25 YOK RT41 CP E4 **,N,,,No Pressure,40,40,"5,964",0,No Inspection Data,,,0
P04-ADT-20-4,AX2WD8904,WSG-878,29.5R25 YOK RT41 CP E4 **,N,,,No Pressure,44,44,"5,964",0,No Inspection Data,,,0
P05-ADT-20-5,AX3WD8084,WSG-876,29.5R25 YOK RT41 CP E4 **,N,,,No Pressure,36,36,"5,964",0,No Inspection Data,,,0
P06-ADT-20-6,,WSG-877,29.5R25 YOK RT41 CP E4 **,N,,,No Pressure,35,35,"5,964",0,No Inspection Data,,,0
"CA8363 - WATERFORD S+G         ADT-21         CAT 740B         In Service                         Last Meter Hours:  7,391        ",,,,,,,,,,,,,,,
P01-ADT-21-1,XM5VDC632,WSG-972,29.5R25 YOK RT41 CP E4 **,N,,,No Pressure,65,65,0,0,No Inspection Data,,,0
P02-ADT-21-2,XM6VDC750,WSG-971,29.5R25 YOK RT41 CP E4 **,N,,,No Pressure,65,65,0,0,No Inspection Data,,,0
P03-ADT-21-3,BVL5371M1A,WSG-863,29.5R25 MIC XADN Std E3T **,N,,,No Pressure,22,22,"1,175",0,No Inspection Data,,,0
P04-ADT-21-4,DVX0474G6A,WSG-665,29.5R25 MIC X SUP-T AD Std E4T **,Y,,,No Pressure,21,21,"11,228",0,No Inspection Data,,,0
P05-ADT-21-5,S1232032101J,WSG-727,29.5R25 MAX MS301 Std E3/L3 **,N,,,No Pressure,21,21,"2,287",0,No Inspection Data,,,0
P06-ADT-21-6,XVC1398A4A,WSG-869,29.5R25 MIC XADN Std E3T **,Y,,,No Pressure,24,24,12,0,No Inspection Data,,,0
"CA8363 - WATERFORD S+G         ADT-22         CAT 740B         In Service                         Last Meter Hours:  7,894        ",,,,,,,,,,,,,,,
P01-ADT-22-1,XM3VDC259,WSG-950,29.5R25 YOK RT41 CP E4 **,N,,,No Pressure,65,65,0,0,No Inspection Data,,,0
